time_unix_ms,timestamp,Vehicle speed (km/h)
1778759273072,2026-05-14 11:47:53.072,0.0
1778759274488,2026-05-14 11:47:54.488,0.0
1778759275566,2026-05-14 11:47:55.566,0.0
1778759276489,2026-05-14 11:47:56.489,0.0
1778759277585,2026-05-14 11:47:57.585,0.0
1778759278353,2026-05-14 11:47:58.353,0.0
1778759279498,2026-05-14 11:47:59.498,0.0
1778759280322,2026-05-14 11:48:00.322,0.0
1778759281526,2026-05-14 11:48:01.526,0.0
1778759283038,2026-05-14 11:48:03.038,0.0
1778759283841,2026-05-14 11:48:03.841,0.0
1778759284989,2026-05-14 11:48:04.989,0.0
1778759286609,2026-05-14 11:48:06.609,0.0
1778759287411,2026-05-14 11:48:07.411,0.0
1778759288594,2026-05-14 11:48:08.594,0.0
1778759289541,2026-05-14 11:48:09.541,0.0
1778759290292,2026-05-14 11:48:10.292,0.0
1778759291094,2026-05-14 11:48:11.094,0.0
1778759292342,2026-05-14 11:48:12.342,0.0
1778759293516,2026-05-14 11:48:13.516,0.0
1778759294636,2026-05-14 11:48:14.636,0.0
1778759295810,2026-05-14 11:48:15.810,0.0
1778759296762,2026-05-14 11:48:16.762,0.0
1778759297636,2026-05-14 11:48:17.636,0.0
1778759298457,2026-05-14 11:48:18.457,0.0
1778759299151,2026-05-14 11:48:19.151,0.0
1778759299935,2026-05-14 11:48:19.935,0.0
1778759301161,2026-05-14 11:48:21.161,0.0
1778759301876,2026-05-14 11:48:21.876,0.0
1778759302626,2026-05-14 11:48:22.626,0.0
1778759303379,2026-05-14 11:48:23.379,0.0
1778759304579,2026-05-14 11:48:24.579,0.0
1778759305686,2026-05-14 11:48:25.686,0.0
1778759306630,2026-05-14 11:48:26.630,0.0
1778759308296,2026-05-14 11:48:28.296,0.0
1778759309237,2026-05-14 11:48:29.237,0.0
1778759310419,2026-05-14 11:48:30.419,0.0
1778759311188,2026-05-14 11:48:31.188,0.0
1778759311958,2026-05-14 11:48:31.958,0.0
1778759313218,2026-05-14 11:48:33.218,0.0
1778759314315,2026-05-14 11:48:34.315,0.0
1778759315086,2026-05-14 11:48:35.086,0.0
1778759316376,2026-05-14 11:48:36.376,0.0
1778759317091,2026-05-14 11:48:37.091,0.0
1778759318347,2026-05-14 11:48:38.347,0.0
1778759319584,2026-05-14 11:48:39.584,0.0
1778759321516,2026-05-14 11:48:41.516,0.0
1778759325126,2026-05-14 11:48:45.126,0.0
1778759326278,2026-05-14 11:48:46.278,0.0
1778759327171,2026-05-14 11:48:47.171,0.0
1778759328305,2026-05-14 11:48:48.305,0.0
1778759329525,2026-05-14 11:48:49.525,0.0
1778759330950,2026-05-14 11:48:50.950,0.0
1778759331701,2026-05-14 11:48:51.701,0.0
1778759332891,2026-05-14 11:48:52.891,0.0
1778759333949,2026-05-14 11:48:53.949,0.0
1778759335102,2026-05-14 11:48:55.102,0.0
1778759336389,2026-05-14 11:48:56.389,0.0
1778759338239,2026-05-14 11:48:58.239,0.0
1778759339333,2026-05-14 11:48:59.333,0.0
1778759340465,2026-05-14 11:49:00.465,0.0
1778759341218,2026-05-14 11:49:01.218,0.0
1778759342385,2026-05-14 11:49:02.385,0.0
1778759343144,2026-05-14 11:49:03.144,0.0
1778759344244,2026-05-14 11:49:04.244,0.0
1778759345396,2026-05-14 11:49:05.396,0.0
1778759346568,2026-05-14 11:49:06.568,0.0
1778759347655,2026-05-14 11:49:07.655,0.0
1778759348467,2026-05-14 11:49:08.467,0.0
1778759349536,2026-05-14 11:49:09.536,4.0
1778759350356,2026-05-14 11:49:10.356,4.0
1778759351131,2026-05-14 11:49:11.131,7.0
1778759352254,2026-05-14 11:49:12.254,8.0
1778759353061,2026-05-14 11:49:13.061,8.0
1778759354173,2026-05-14 11:49:14.173,9.0
1778759354876,2026-05-14 11:49:14.876,9.0
1778759355652,2026-05-14 11:49:15.652,9.0
1778759356379,2026-05-14 11:49:16.379,9.0
1778759357125,2026-05-14 11:49:17.125,9.0
1778759358277,2026-05-14 11:49:18.277,11.0
1778759359001,2026-05-14 11:49:19.001,11.0
1778759359783,2026-05-14 11:49:19.783,13.0
1778759360917,2026-05-14 11:49:20.917,17.0
1778759361670,2026-05-14 11:49:21.670,17.0
1778759362359,2026-05-14 11:49:22.359,19.0
1778759363133,2026-05-14 11:49:23.133,21.0
1778759364352,2026-05-14 11:49:24.352,21.0
1778759365866,2026-05-14 11:49:25.866,21.0
1778759367002,2026-05-14 11:49:27.002,22.0
1778759368133,2026-05-14 11:49:28.133,23.0
1778759369267,2026-05-14 11:49:29.267,22.0
1778759370158,2026-05-14 11:49:30.158,22.0
1778759370842,2026-05-14 11:49:30.842,22.0
1778759371688,2026-05-14 11:49:31.688,21.0
1778759372922,2026-05-14 11:49:32.922,22.0
1778759373748,2026-05-14 11:49:33.748,22.0
1778759375170,2026-05-14 11:49:35.170,21.0
1778759375921,2026-05-14 11:49:35.921,22.0
1778759376689,2026-05-14 11:49:36.689,22.0
1778759377814,2026-05-14 11:49:37.814,23.0
1778759379047,2026-05-14 11:49:39.047,22.0
1778759380100,2026-05-14 11:49:40.100,23.0
1778759380836,2026-05-14 11:49:40.836,23.0
1778759382368,2026-05-14 11:49:42.368,15.0
1778759383927,2026-05-14 11:49:43.927,24.0
1778759384610,2026-05-14 11:49:44.610,15.0
1778759385436,2026-05-14 11:49:45.436,23.0
1778759386212,2026-05-14 11:49:46.212,22.0
1778759387268,2026-05-14 11:49:47.268,23.0
1778759388389,2026-05-14 11:49:48.389,22.0
1778759390043,2026-05-14 11:49:50.043,22.0
1778759390852,2026-05-14 11:49:50.852,21.0
1778759391556,2026-05-14 11:49:51.556,22.0
1778759392324,2026-05-14 11:49:52.324,22.0
1778759393056,2026-05-14 11:49:53.056,22.0
1778759394263,2026-05-14 11:49:54.263,21.0
1778759395731,2026-05-14 11:49:55.731,15.0
1778759397288,2026-05-14 11:49:57.288,16.0
1778759398422,2026-05-14 11:49:58.422,16.0
1778759399184,2026-05-14 11:49:59.184,18.0
1778759399893,2026-05-14 11:49:59.893,20.0
1778759401096,2026-05-14 11:50:01.096,20.0
1778759401793,2026-05-14 11:50:01.793,20.0
1778759403716,2026-05-14 11:50:03.716,21.0
1778759404804,2026-05-14 11:50:04.804,22.0
1778759405566,2026-05-14 11:50:05.566,21.0
1778759406693,2026-05-14 11:50:06.693,21.0
1778759407461,2026-05-14 11:50:07.461,20.0
1778759408277,2026-05-14 11:50:08.277,19.0
1778759408956,2026-05-14 11:50:08.956,17.0
1778759409800,2026-05-14 11:50:09.800,13.0
1778759410627,2026-05-14 11:50:10.627,12.0
1778759411419,2026-05-14 11:50:11.419,11.0
1778759412170,2026-05-14 11:50:12.170,13.0
1778759412958,2026-05-14 11:50:12.958,15.0
1778759414434,2026-05-14 11:50:14.434,17.0
1778759415558,2026-05-14 11:50:15.558,21.0
1778759416748,2026-05-14 11:50:16.748,22.0
1778759417823,2026-05-14 11:50:17.823,22.0
1778759418586,2026-05-14 11:50:18.586,24.0
1778759419332,2026-05-14 11:50:19.332,23.0
1778759420179,2026-05-14 11:50:20.179,23.0
1778759421592,2026-05-14 11:50:21.592,21.0
1778759422388,2026-05-14 11:50:22.388,21.0
1778759423125,2026-05-14 11:50:23.125,21.0
1778759423875,2026-05-14 11:50:23.875,21.0
1778759424593,2026-05-14 11:50:24.593,21.0
1778759425376,2026-05-14 11:50:25.376,21.0
1778759426113,2026-05-14 11:50:26.113,21.0
1778759426872,2026-05-14 11:50:26.872,21.0
1778759427624,2026-05-14 11:50:27.624,21.0
1778759428714,2026-05-14 11:50:28.714,22.0
1778759429472,2026-05-14 11:50:29.472,22.0
1778759430425,2026-05-14 11:50:30.425,22.0
1778759431547,2026-05-14 11:50:31.547,22.0
1778759432324,2026-05-14 11:50:32.324,21.0
1778759433099,2026-05-14 11:50:33.099,21.0
1778759434190,2026-05-14 11:50:34.190,23.0
1778759435029,2026-05-14 11:50:35.029,22.0
1778759435767,2026-05-14 11:50:35.767,23.0
1778759436435,2026-05-14 11:50:36.435,22.0
1778759437241,2026-05-14 11:50:37.241,21.0
1778759438125,2026-05-14 11:50:38.125,21.0
1778759439299,2026-05-14 11:50:39.299,21.0
1778759440450,2026-05-14 11:50:40.450,21.0
1778759441196,2026-05-14 11:50:41.196,21.0
1778759442310,2026-05-14 11:50:42.310,20.0
1778759443416,2026-05-14 11:50:43.416,20.0
1778759444213,2026-05-14 11:50:44.213,18.0
1778759445320,2026-05-14 11:50:45.320,14.0
1778759446461,2026-05-14 11:50:46.461,8.0
1778759447262,2026-05-14 11:50:47.262,7.0
1778759447958,2026-05-14 11:50:47.958,9.0
1778759448706,2026-05-14 11:50:48.706,11.0
1778759449484,2026-05-14 11:50:49.484,15.0
1778759450200,2026-05-14 11:50:50.200,15.0
1778759450987,2026-05-14 11:50:50.987,16.0
1778759451739,2026-05-14 11:50:51.739,15.0
1778759452485,2026-05-14 11:50:52.485,15.0
1778759453287,2026-05-14 11:50:53.287,12.0
1778759453958,2026-05-14 11:50:53.958,12.0
1778759455138,2026-05-14 11:50:55.138,11.0
1778759455903,2026-05-14 11:50:55.903,11.0
1778759457065,2026-05-14 11:50:57.065,16.0
1778759458156,2026-05-14 11:50:58.156,19.0
1778759458892,2026-05-14 11:50:58.892,19.0
1778759459728,2026-05-14 11:50:59.728,20.0
1778759460889,2026-05-14 11:51:00.889,22.0
1778759461602,2026-05-14 11:51:01.602,24.0
1778759462694,2026-05-14 11:51:02.694,23.0
1778759463533,2026-05-14 11:51:03.533,22.0
1778759464384,2026-05-14 11:51:04.384,21.0
1778759465126,2026-05-14 11:51:05.126,21.0
1778759465922,2026-05-14 11:51:05.922,19.0
1778759467067,2026-05-14 11:51:07.067,20.0
1778759468125,2026-05-14 11:51:08.125,18.0
1778759469305,2026-05-14 11:51:09.305,19.0
1778759470157,2026-05-14 11:51:10.157,18.0
1778759470859,2026-05-14 11:51:10.859,18.0
1778759472059,2026-05-14 11:51:12.059,16.0
1778759473148,2026-05-14 11:51:13.148,13.0
1778759473965,2026-05-14 11:51:13.965,10.0
1778759477239,2026-05-14 11:51:17.239,3.0
1778759479935,2026-05-14 11:51:19.935,0.0
1778759483142,2026-05-14 11:51:23.142,0.0
1778759484232,2026-05-14 11:51:24.232,0.0
1778759484993,2026-05-14 11:51:24.993,0.0
1778759486082,2026-05-14 11:51:26.082,0.0
1778759486806,2026-05-14 11:51:26.806,0.0
1778759487970,2026-05-14 11:51:27.970,0.0
1778759489160,2026-05-14 11:51:29.160,0.0
1778759490244,2026-05-14 11:51:30.244,0.0
1778759491041,2026-05-14 11:51:31.041,0.0
1778759492022,2026-05-14 11:51:32.022,0.0
1778759493186,2026-05-14 11:51:33.186,6.0
1778759494028,2026-05-14 11:51:34.028,9.0
1778759494721,2026-05-14 11:51:34.721,13.0
1778759495461,2026-05-14 11:51:35.461,15.0
1778759496266,2026-05-14 11:51:36.266,15.0
1778759497448,2026-05-14 11:51:37.448,17.0
1778759498226,2026-05-14 11:51:38.226,17.0
1778759498971,2026-05-14 11:51:38.971,16.0
1778759500513,2026-05-14 11:51:40.513,18.0
1778759501227,2026-05-14 11:51:41.227,17.0
1778759502345,2026-05-14 11:51:42.345,15.0
1778759504250,2026-05-14 11:51:44.250,14.0
1778759505034,2026-05-14 11:51:45.034,13.0
1778759505928,2026-05-14 11:51:45.928,13.0
1778759506651,2026-05-14 11:51:46.651,15.0
1778759507480,2026-05-14 11:51:47.480,17.0
1778759508582,2026-05-14 11:51:48.582,16.0
1778759509361,2026-05-14 11:51:49.361,18.0
1778759510038,2026-05-14 11:51:50.038,18.0
1778759511257,2026-05-14 11:51:51.257,16.0
1778759511978,2026-05-14 11:51:51.978,15.0
1778759513131,2026-05-14 11:51:53.131,13.0
1778759514219,2026-05-14 11:51:54.219,12.0
1778759515023,2026-05-14 11:51:55.023,12.0
1778759516164,2026-05-14 11:51:56.164,12.0
1778759517388,2026-05-14 11:51:57.388,13.0
1778759518771,2026-05-14 11:51:58.771,15.0
1778759519991,2026-05-14 11:51:59.991,16.0
1778759520810,2026-05-14 11:52:00.810,18.0
1778759521678,2026-05-14 11:52:01.678,17.0
1778759522574,2026-05-14 11:52:02.574,17.0
1778759523736,2026-05-14 11:52:03.736,17.0
1778759524435,2026-05-14 11:52:04.435,17.0
1778759525173,2026-05-14 11:52:05.173,21.0
1778759526322,2026-05-14 11:52:06.322,23.0
1778759527147,2026-05-14 11:52:07.147,22.0
1778759532649,2026-05-14 11:52:12.649,14.0
1778759533799,2026-05-14 11:52:13.799,11.0
1778759534884,2026-05-14 11:52:14.884,11.0
1778759535685,2026-05-14 11:52:15.685,10.0
1778759536604,2026-05-14 11:52:16.604,8.0
1778759537494,2026-05-14 11:52:17.494,6.0
1778759538297,2026-05-14 11:52:18.297,5.0
1778759538994,2026-05-14 11:52:18.994,3.0
1778759539874,2026-05-14 11:52:19.874,3.0
1778759540609,2026-05-14 11:52:20.609,3.0
1778759541752,2026-05-14 11:52:21.752,0.0
1778759542515,2026-05-14 11:52:22.515,0.0
1778759543312,2026-05-14 11:52:23.312,0.0
1778759544162,2026-05-14 11:52:24.162,0.0
1778759544999,2026-05-14 11:52:24.999,1.0
1778759546018,2026-05-14 11:52:26.018,0.0
1778759546770,2026-05-14 11:52:26.770,0.0
1778759547497,2026-05-14 11:52:27.497,0.0
1778759548686,2026-05-14 11:52:28.686,1.0
1778759550242,2026-05-14 11:52:30.242,0.0
1778759551077,2026-05-14 11:52:31.077,0.0
1778759551991,2026-05-14 11:52:31.991,0.0
1778759552751,2026-05-14 11:52:32.751,0.0
1778759553541,2026-05-14 11:52:33.541,0.0
1778759554431,2026-05-14 11:52:34.431,0.0
1778759555192,2026-05-14 11:52:35.192,0.0
1778759555972,2026-05-14 11:52:35.972,0.0
1778759556761,2026-05-14 11:52:36.761,0.0
1778759557442,2026-05-14 11:52:37.442,0.0
1778759560041,2026-05-14 11:52:40.041,0.0
1778759560747,2026-05-14 11:52:40.747,0.0
1778759561506,2026-05-14 11:52:41.506,0.0
1778759562319,2026-05-14 11:52:42.319,0.0
1778759563444,2026-05-14 11:52:43.444,0.0
1778759564257,2026-05-14 11:52:44.257,0.0
1778759565378,2026-05-14 11:52:45.378,0.0
1778759566982,2026-05-14 11:52:46.982,0.0
1778759567724,2026-05-14 11:52:47.724,0.0